project,analyzer,D_P,D_R,D_F,SIZE
accumulo,build-info-go,98,4,100,99,19,184,
accumulo,cdxgen,98,8,89,13,93,71,184,
accumulo,cyclonedx-maven-plugin,98,8,89,13,93,71,184,
accumulo,depscan,98,8,89,13,93,71,184,
accumulo,jbom,0,0,0,184,
accumulo,openrewrite,100,1,09,2,15,184,
alluxio,build-info-go,0,0,0,0,
alluxio,cdxgen,0,0,0,640,
alluxio,cyclonedx-maven-plugin,0,0,0,0,
alluxio,depscan,0,0,0,0,
alluxio,jbom,8,79,20,47,12,29,640,
alluxio,openrewrite,100,0,62,1,24,640,
async-http-client,build-info-go,0,0,0,0,
async-http-client,cdxgen,70,45,31,63,43,66,98,
async-http-client,cyclonedx-maven-plugin,70,45,31,63,43,66,98,
async-http-client,depscan,70,45,31,63,43,66,98,
async-http-client,jbom,5,71,2,04,3,01,98,
async-http-client,openrewrite,100,2,04,4,98,
checkstyle,build-info-go,96,55,96,55,96,55,58,
checkstyle,cdxgen,100,39,66,56,79,58,
checkstyle,cyclonedx-maven-plugin,100,39,66,56,79,58,
checkstyle,depscan,100,39,66,56,79,58,
checkstyle,jbom,60,87,24,14,34,57,58,
checkstyle,openrewrite,95,83,39,66,56,1,58,
commons-configuration,build-info-go,0,0,0,0,
commons-configuration,cdxgen,100,40,74,57,89,54,
commons-configuration,cyclonedx-maven-plugin,100,40,74,57,89,54,
commons-configuration,depscan,100,40,74,57,89,54,
commons-configuration,jbom,0,0,0,0,
commons-configuration,openrewrite,100,40,74,57,89,54,
CoreNLP,build-info-go,96,97,78,05,86,49,41,
CoreNLP,cdxgen,100,78,05,87,67,41,
CoreNLP,cyclonedx-maven-plugin,100,82,93,90,67,41,
CoreNLP,depscan,100,78,05,87,67,41,
CoreNLP,jbom,35,21,60,98,44,64,41,
CoreNLP,openrewrite,94,12,78,05,85,33,41,
couchdb-lucene,build-info-go,98,67,97,37,98,01,76,
couchdb-lucene,cdxgen,100,97,37,98,67,76,
couchdb-lucene,cyclonedx-maven-plugin,100,97,37,98,67,76,
couchdb-lucene,depscan,100,97,37,98,67,76,
couchdb-lucene,jbom,46,15,15,79,23,53,76,
couchdb-lucene,openrewrite,100,97,37,98,67,76,
error-prone,build-info-go,96,97,97,96,97,46,98,
error-prone,cdxgen,95,35,41,84,58,16,98,
error-prone,cyclonedx-maven-plugin,95,35,41,84,58,16,98,
error-prone,depscan,95,35,41,84,58,16,98,
error-prone,jbom,44,19,38,78,41,3,98,
error-prone,openrewrite,0,0,0,0,
flink,build-info-go,0,0,0,0,
flink,cdxgen,0,0,0,345,
flink,cyclonedx-maven-plugin,0,0,0,0,
flink,depscan,0,0,0,0,
flink,jbom,0,0,0,345,
flink,openrewrite,0,0,0,0,
handlebars.java,build-info-go,0,0,0,0,
handlebars.java,cdxgen,93,33,84,48,88,69,116,
handlebars.java,cyclonedx-maven-plugin,93,33,84,48,88,69,116,
handlebars.java,depscan,93,33,84,48,88,69,116,
handlebars.java,jbom,14,39,16,38,15,32,116,
handlebars.java,openrewrite,0,0,0,0,
jacop,build-info-go,90,81,82,85,71,11,
jacop,cdxgen,100,81,82,90,11,
jacop,cyclonedx-maven-plugin,100,81,82,90,11,
jacop,depscan,100,81,82,90,11,
jacop,jbom,0,0,0,0,
jacop,openrewrite,100,81,82,90,11,
javaparser,build-info-go,66,67,29,79,41,18,47,
javaparser,cdxgen,70,29,79,41,79,47,
javaparser,cyclonedx-maven-plugin,70,29,79,41,79,47,
javaparser,depscan,70,29,79,41,79,47,
javaparser,jbom,15,79,12,77,14,12,47,
javaparser,openrewrite,0,0,0,0,
jenkins,build-info-go,98,72,99,57,99,14,232,
jenkins,cdxgen,98,2,46,98,63,56,232,
jenkins,cyclonedx-maven-plugin,98,2,46,98,63,56,232,
jenkins,depscan,98,2,46,98,63,56,232,
jenkins,jbom,25,96,40,95,31,77,232,
jenkins,openrewrite,0,0,0,0,
jHiccup,build-info-go,0,0,0,0,
jHiccup,cdxgen,100,33,33,50,3,
jHiccup,cyclonedx-maven-plugin,100,33,33,50,3,
jHiccup,depscan,100,33,33,50,3,
jHiccup,jbom,50,66,67,57,14,3,
jHiccup,openrewrite,100,33,33,50,3,
jooby,build-info-go,0,0,0,0,
jooby,cdxgen,91,34,93,36,92,34,452,
jooby,cyclonedx-maven-plugin,91,36,93,58,92,46,452,
jooby,depscan,91,56,93,58,92,56,452,
jooby,jbom,0,0,0,0,
jooby,openrewrite,0,0,0,0,
launch4j-maven-plugin,build-info-go,93,65,95,16,94,4,62,
launch4j-maven-plugin,cdxgen,94,34,80,65,86,96,62,
launch4j-maven-plugin,cyclonedx-maven-plugin,94,34,80,65,86,96,62,
launch4j-maven-plugin,depscan,94,34,80,65,86,96,62,
launch4j-maven-plugin,jbom,84,62,17,74,29,33,62,
launch4j-maven-plugin,openrewrite,58,33,56,45,57,38,62,
mybatis-3,build-info-go,98,46,100,99,22,64,
mybatis-3,cdxgen,100,31,25,47,62,64,
mybatis-3,cyclonedx-maven-plugin,100,31,25,47,62,64,
mybatis-3,depscan,100,31,25,47,62,64,
mybatis-3,jbom,96,43,42,19,58,7,64,
mybatis-3,openrewrite,95,29,69,45,24,64,
neo4j,build-info-go,0,0,0,0,
neo4j,cdxgen,90,19,84,82,87,42,336,
neo4j,cyclonedx-maven-plugin,90,19,84,82,87,42,336,
neo4j,depscan,90,19,84,82,87,42,336,
neo4j,jbom,0,0,0,336,
neo4j,openrewrite,0,0,0,0,
orika,build-info-go,94,23,100,97,03,49,
orika,cdxgen,96,08,100,98,49,
orika,cyclonedx-maven-plugin,96,08,100,98,49,
orika,depscan,96,08,100,98,49,
orika,jbom,8,16,8,16,8,16,49,
orika,openrewrite,0,0,0,0,
para,build-info-go,86,63,68,94,76,78,235,
para,cdxgen,87,13,74,89,80,55,235,
para,cyclonedx-maven-plugin,87,13,74,89,80,55,235,
para,depscan,87,13,74,89,80,55,235,
para,jbom,9,41,27,23,13,99,235,
para,openrewrite,0,0,0,0,
selenese-runner-java,build-info-go,97,08,95,68,96,38,139,
selenese-runner-java,cdxgen,98,26,81,29,88,98,139,
selenese-runner-java,cyclonedx-maven-plugin,98,26,81,29,88,98,139,
selenese-runner-java,depscan,98,26,81,29,88,98,139,
selenese-runner-java,jbom,73,91,12,23,20,99,139,
selenese-runner-java,openrewrite,94,74,77,7,85,38,139,
spoon,build-info-go,95,83,42,59,58,97,54,
spoon,cdxgen,100,42,59,59,74,54,
spoon,cyclonedx-maven-plugin,100,42,59,59,74,54,
spoon,depscan,100,42,59,59,74,54,
spoon,jbom,23,2,53,7,32,4,54,
spoon,openrewrite,95,83,42,59,58,97,54,
steady,build-info-go,95,58,77,27,85,46,308,
steady,cdxgen,95,97,77,27,85,61,308,
steady,cyclonedx-maven-plugin,95,97,77,27,85,61,308,
steady,depscan,95,97,77,27,85,61,308,
steady,jbom,14,44,21,75,17,36,308,
steady,openrewrite,100,1,62,3,19,308,
subzero,build-info-go,0,0,0,0,
subzero,cdxgen,0,0,0,0,
subzero,cyclonedx-maven-plugin,0,0,0,0,
subzero,depscan,0,0,0,0,
subzero,jbom,0,0,0,0,
subzero,openrewrite,0,0,0,0,
tika,build-info-go,0,0,0,0,
tika,cdxgen,90,86,75,07,82,21,742,
tika,cyclonedx-maven-plugin,90,86,75,07,82,21,742,
tika,depscan,90,86,75,07,82,21,742,
tika,jbom,7,57,7,28,7,42,742,
tika,openrewrite,0,0,0,0,
undertow,build-info-go,95,35,93,89,94,62,131,
undertow,cdxgen,93,33,21,37,34,78,131,
undertow,cyclonedx-maven-plugin,93,33,21,37,34,78,131,
undertow,depscan,93,33,21,37,34,78,131,
undertow,jbom,10,87,7,63,8,97,131,
undertow,openrewrite,0,0,0,0,
webcam-capture,build-info-go,0,0,0,0,
webcam-capture,cdxgen,40,38,37,84,39,07,111,
webcam-capture,cyclonedx-maven-plugin,40,38,37,84,39,07,111,
webcam-capture,depscan,40,38,37,84,39,07,111,
webcam-capture,jbom,26,67,7,21,11,35,111,
webcam-capture,openrewrite,0,0,0,0,
